tconst,titleType,primaryTitle,startYear,genres,averageRating,numVotes,weightedAverage
tt10121894,movie,In Search of Echo,2019,Drama,5.4,22,118.8
tt10122038,movie,Chambal,2019,Drama,7.4,126,932.4
tt10122042,movie,Kingdom Men Rising,2019,Documentary,8.1,37,299.7
tt10122392,movie,Incitement,2019,Thriller,7.1,370,2627
tt10122474,tvSeries,Dummy,2020,"Comedy,Short",7.1,165,1171.5
tt10122486,movie,I Need You Dead!,2020,"Comedy,Horror",7,9,63
tt10122504,movie,Rampaat,2019,Comedy,1.9,92,174.8
tt10122594,tvSeries,Texicanas,2019,Reality-TV,5.1,73,372.3
tt10122618,movie,Gondi,2020,Drama,7.1,51,362.1
tt10122686,tvSeries,Aerial Britain,2019,Documentary,8.1,21,170.1
tt10122814,tvSeries,Mental,2019,Drama,8.2,17,139.4
tt10122930,movie,Humanity on Trial,2019,Documentary,8.5,13,110.5
tt10123698,movie,Miss,2020,Comedy,5.3,18,95.4
tt10124626,tvSeries,El cielo puede esperar,2019,Comedy,4.8,6,28.8
tt10124714,movie,A Frenchman,2019,Drama,6.4,130,832
tt10125662,movie,Chhalawa,2019,"Comedy,Drama,Family",2.7,296,799.2
tt10125774,movie,Mens,2019,Drama,6.9,7,48.3
tt10125972,movie,Shadows of Sofia,2019,Documentary,5.5,244,1342
tt10125986,movie,Watakushi no dorei ni narinasai dai ni sho go shujin-sama to yobasete kudasai,2018,Romance,5,20,100
tt10126434,movie,Scare Me,2020,Horror,3.3,121,399.3
tt10126462,movie,Post,2019,"Drama,Fantasy,Horror",7.2,29,208.8
tt10126500,tvSeries,Orphans of a Nation,2019,"Drama,Romance",6.9,36,248.4
tt10126628,movie,Lost in Love,2019,Drama,4.4,18,79.2
tt10127228,movie,Watakushi no dorei ni narinasai dai san sho o ma e shidai,2018,Romance,3.2,38,121.6
tt10127410,movie,Stolen Identity 2,2020,Thriller,4.8,5,24
tt10127422,tvSeries,Mary's Kitchen Crush,2019,Reality-TV,6.2,38,235.6
tt10127546,movie,The Lehman Trilogy,2019,Drama,9.1,116,1055.6
tt10127562,movie,Dragon Quest: Your Story,2019,"Adventure,Animation,Family",6.6,1649,10883.4
tt10127634,movie,Dhaght Ali,2019,Comedy,3,5,15
tt10127696,movie,Reprint,2019,"Animation,Crime,Drama",6.2,10,62
tt10127726,tvSeries,Gattimela,2019,Drama,8.4,7,58.8
tt10127754,tvSeries,Chupkotha 2,2018,Horror,5.9,19,112.1
tt10128580,movie,White Mama,2018,Documentary,6.7,12,80.4
tt10128920,movie,Na bank sie uda,2019,"Comedy,Crime",4.4,214,941.6
tt10129040,movie,1800 gramów,2019,Comedy,5.8,127,736.6
tt10129824,movie,I Grew Up As You Slept,2018,Documentary,6.2,5,31
tt10130702,tvSeries,Green Fingers,2019,Comedy,8.1,21,170.1
tt10131150,movie,Askania Reserve,2019,Documentary,7.8,13,101.4
tt10131230,movie,"Geek, and You Shall Find",2019,Documentary,6.2,68,421.6
tt10131762,movie,Proceder,2019,"Biography,Music",5.4,369,1992.6
tt10131904,movie,Vse ili nichego,2018,Comedy,4.5,41,184.5
tt10132048,movie,Blink of an Eye,2019,Documentary,7.5,86,645
tt10132196,movie,Zenek,2020,"Biography,Music",2.1,1206,2532.6
tt10132406,tvSeries,Maly zgon,2020,Crime,7.1,37,262.7
tt10132506,tvSeries,Alice in Chains: Black Antenna,2019,"Music,Sci-Fi,Thriller",8.4,14,117.6
tt10132842,tvSeries,Porn,2019,Comedy,8,5,40
tt10132918,tvSeries,Mighty Mike,2019,Animation,8.8,45,396
tt10132958,tvSeries,Kids Behind Bars: Life or Parole,2019,Documentary,6.8,47,319.6
tt10132976,movie,The Salt of Tears,2020,Drama,5.8,160,928
tt10133044,tvSeries,Blind Date,2019,"Comedy,Reality-TV,Romance",5.7,19,108.3
tt10133046,tvSeries,Inside the Black Actors Studio,2019,Talk-Show,9.2,12,110.4
tt10133226,tvSeries,Holey Moley,2019,"Game-Show,Reality-TV",6.7,409,2740.3
tt10133278,movie,Greenfield,2019,"Drama,Thriller",7.3,10,73
tt10133296,movie,Of Animals and Men,2019,Documentary,7.6,19,144.4
tt10133300,movie,Rakshasudu,2019,"Action,Crime,Thriller",8.2,821,6732.2
tt10133318,tvSeries,Preziveti Beograd,2019,"Comedy,Drama,Romance",4.6,193,887.8
tt10133370,tvSeries,Stalk,2019,Drama,7,24,168
